epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,708.728,3.6127,4.12698,4.01863,0.85865,0.08469,0.01066,0.00353,3.46598,5.39056,3.80351,0.000300194,0.000300194,0.000300194
2,1317.28,2.667,2.96113,2.98591,0.21639,0.19431,0.13752,0.05036,2.35467,3.22199,3.0355,0.000573336,0.000573336,0.000573336
3,1993.82,2.21944,2.61587,2.50205,0.25201,0.26459,0.20934,0.08807,2.1577,2.8757,2.7143,0.000816481,0.000816481,0.000816481
4,2599.98,1.99798,2.38189,2.27269,0.45362,0.31759,0.27519,0.13079,1.8902,2.47042,2.44939,0.000774013,0.000774013,0.000774013
5,3235.67,1.82088,2.21912,2.10519,0.4591,0.38079,0.31257,0.14378,2.00562,2.39043,2.4937,0.000729018,0.000729018,0.000729018
6,3861.88,1.72575,2.09549,2.01006,0.33129,0.43647,0.34154,0.1632,1.69527,2.3333,2.20888,0.000684022,0.000684022,0.000684022
7,4442.04,1.6566,1.98072,1.94962,0.56636,0.41986,0.43823,0.23315,1.61315,2.09973,2.12163,0.000639027,0.000639027,0.000639027
8,5034.92,1.56414,1.88941,1.86234,0.49841,0.4613,0.47371,0.25194,1.63152,1.88708,2.11196,0.000594031,0.000594031,0.000594031
9,5625.74,1.52784,1.80245,1.81445,0.47931,0.50472,0.47095,0.26738,1.53417,1.79993,2.02114,0.000549036,0.000549036,0.000549036
10,6226.55,1.47019,1.73982,1.77668,0.5285,0.53994,0.53684,0.30945,1.48075,1.68184,1.95439,0.00050404,0.00050404,0.00050404
11,6806.4,1.33694,1.65528,1.77404,0.62474,0.5713,0.59477,0.35646,1.38239,1.56596,1.87152,0.000459045,0.000459045,0.000459045
12,7316.9,1.28057,1.51441,1.71117,0.66881,0.56405,0.62891,0.39002,1.35086,1.53749,1.7937,0.000414049,0.000414049,0.000414049
13,7806.81,1.24315,1.41912,1.66923,0.70074,0.59875,0.65475,0.42411,1.24553,1.37705,1.74475,0.000369054,0.000369054,0.000369054
14,8394.34,1.21289,1.38619,1.63673,0.7397,0.63235,0.6815,0.44334,1.24383,1.32367,1.7093,0.000324058,0.000324058,0.000324058
15,8923.72,1.18448,1.30526,1.59254,0.69653,0.64635,0.68056,0.45217,1.20853,1.31886,1.68154,0.000279063,0.000279063,0.000279063
16,9480.69,1.14685,1.24197,1.56358,0.72906,0.65239,0.71196,0.47654,1.15767,1.235,1.64561,0.000234068,0.000234068,0.000234068
17,9989.16,1.12448,1.21901,1.55868,0.75281,0.66931,0.73308,0.48539,1.21915,1.19778,1.67403,0.000189072,0.000189072,0.000189072
18,64164.4,1.09232,1.16494,1.523,0.74795,0.6734,0.73703,0.50244,1.13766,1.16344,1.61524,0.000144077,0.000144077,0.000144077
19,64732.2,1.06617,1.13516,1.49622,0.76209,0.6865,0.7413,0.51189,1.12483,1.13901,1.61036,9.9081e-05,9.9081e-05,9.9081e-05
20,65369.3,1.03985,1.11073,1.47366,0.77913,0.68988,0.75523,0.52457,1.11601,1.09903,1.59886,5.40855e-05,5.40855e-05,5.40855e-05
